"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000","iteration_5050","iteration_5100","iteration_5150","iteration_5200","iteration_5250","iteration_5300","iteration_5350","iteration_5400","iteration_5450","iteration_5500","iteration_5550","iteration_5600","iteration_5650","iteration_5700","iteration_5750","iteration_5800","iteration_5850","iteration_5900","iteration_5950","iteration_6000","iteration_6050","iteration_6100","iteration_6150","iteration_6200","iteration_6250","iteration_6300","iteration_6350","iteration_6400","iteration_6450","iteration_6500","iteration_6550","iteration_6600","iteration_6650","iteration_6700","iteration_6750","iteration_6800","iteration_6850","iteration_6900","iteration_6950","iteration_7000","iteration_7050","iteration_7100","iteration_7150","iteration_7200","iteration_7250","iteration_7300","iteration_7350","iteration_7400","iteration_7450","iteration_7500","iteration_7550","iteration_7600","iteration_7650","iteration_7700","iteration_7750","iteration_7800","iteration_7850","iteration_7900","iteration_7950","iteration_8000","iteration_8050","iteration_8100","iteration_8150","iteration_8200","iteration_8250","iteration_8300","iteration_8350","iteration_8400","iteration_8450","iteration_8500","iteration_8550","iteration_8600","iteration_8650","iteration_8700","iteration_8750","iteration_8800","iteration_8850","iteration_8900","iteration_8950","iteration_9000","iteration_9050","iteration_9100","iteration_9150","iteration_9200","iteration_9250","iteration_9300","iteration_9350","iteration_9400","iteration_9450","iteration_9500","iteration_9550","iteration_9600","iteration_9650","iteration_9700","iteration_9750","iteration_9800","iteration_9850","iteration_9900","iteration_9950","iteration_10000"
"37183004-01",9,7,3,13,13,7,11,11,11,7,7,3,3,4,4,6,14,4,5,9,1,11,4,11,11,7,11,2,6,14,1,1,3,1,4,4,14,9,9,9,14,7,6,13,9,2,13,9,13,7,8,8,8,5,5,9,9,2,11,11,11,11,10,10,1,2,14,2,2,7,2,7,7,12,11,11,12,11,6,8,7,7,13,10,1,13,8,8,8,8,10,14,2,2,6,6,6,6,8,1,6,7,8,4,9,9,12,4,2,10,10,9,2,7,5,5,5,2,2,6,6,6,6,5,5,5,11,10,14,8,10,4,12,12,12,12,12,1,1,7,7,7,7,10,10,10,7,10,1,7,7,7,7,11,7,7,1,1,1,1,13,3,13,13,3,3,3,3,3,6,8,8,8,8,7,7,7,7,13,13,3,3,3,3,3,3,3,3,3,3,5,5,3,8,8,8,8,8,8,8,8
"37167000028",11,14,14,9,8,12,1,8,1,13,11,14,2,10,8,1,9,10,14,3,2,4,8,10,9,6,2,3,13,4,7,10,10,10,6,12,3,6,8,3,3,6,12,10,8,3,11,11,14,9,3,4,6,4,2,8,5,12,12,8,14,13,11,2,13,11,9,11,7,2,8,10,10,11,8,10,10,5,3,7,10,13,11,1,6,1,3,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,2,9,7,5,9,2,3,7,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,14,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37191000024",6,6,4,3,4,13,11,1,7,11,8,4,5,9,13,3,7,14,2,14,3,10,10,9,4,11,14,6,2,2,11,3,7,3,8,8,7,3,7,12,7,11,11,9,11,11,13,9,11,12,12,7,8,8,11,4,14,11,2,7,7,4,1,4,4,14,7,3,3,6,6,12,3,2,4,13,6,6,12,9,9,12,14,5,5,11,8,8,8,8,8,8,14,6,14,3,3,3,3,8,13,13,13,13,13,13,13,8,8,8,8,8,13,2,2,2,2,6,7,7,7,7,7,11,11,11,1,1,1,1,1,1,1,13,1,1,13,13,13,1,13,13,13,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,13,13,1,1,1,1,1,1,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6
"3716300CLNE",6,6,4,3,9,3,11,1,7,11,8,13,5,13,5,3,7,14,10,14,3,9,14,4,9,1,9,6,2,2,11,3,7,3,8,8,7,3,7,12,7,13,13,9,11,11,13,9,11,12,12,12,8,2,3,11,9,14,14,7,4,11,7,3,3,4,4,4,4,12,3,12,3,2,4,13,6,6,12,9,9,12,14,5,5,11,2,2,2,6,6,6,10,6,8,11,11,10,10,10,10,11,11,11,10,11,11,11,11,13,13,11,11,11,11,1,1,1,1,11,11,1,1,8,8,8,8,8,10,10,2,2,2,2,2,2,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5
"37167000027",11,14,14,9,8,12,1,8,1,13,11,14,2,10,8,1,9,10,14,3,11,4,8,10,9,6,2,3,5,4,7,10,10,10,6,12,3,6,8,3,3,6,12,10,8,3,11,11,14,9,3,4,6,4,12,2,5,12,12,8,14,14,3,2,13,11,9,11,7,2,2,10,10,10,5,10,10,5,3,7,10,13,2,1,6,1,3,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,2,9,7,5,9,2,3,7,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,14,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37167000026",13,12,12,8,8,12,1,8,1,13,11,14,2,10,8,1,9,10,7,3,2,4,8,10,9,6,2,3,5,4,7,10,10,10,6,12,3,6,8,3,3,6,12,10,8,3,11,11,14,9,3,4,6,4,4,2,5,12,12,8,14,14,3,2,13,11,9,11,7,2,8,10,10,11,8,10,10,5,3,7,10,13,11,1,6,1,3,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,2,9,7,5,9,2,3,7,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,14,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37167000025",7,12,12,8,8,12,13,12,2,13,11,14,2,12,8,1,9,10,7,3,2,4,8,14,8,8,7,3,13,4,8,7,10,10,5,5,2,6,8,8,3,4,12,10,4,3,11,11,14,9,3,4,6,4,4,2,5,12,12,8,14,14,3,2,13,11,9,11,7,11,13,10,10,11,8,5,7,7,1,3,3,13,12,12,3,3,12,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,12,9,7,5,9,2,5,5,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,14,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"3700100003W",2,11,11,11,11,1,12,9,14,14,2,2,4,14,6,13,6,5,11,10,9,7,13,13,12,13,8,12,1,13,4,4,2,8,9,3,9,11,11,4,9,14,8,8,7,10,5,7,4,4,13,13,4,9,9,14,3,3,8,3,9,9,13,13,12,10,10,11,14,13,8,14,4,4,3,3,2,9,14,14,6,4,7,11,4,4,5,4,10,9,5,7,4,9,3,7,12,14,7,7,7,5,7,7,5,8,4,3,4,3,3,2,10,6,3,3,8,5,5,5,12,2,2,2,2,3,3,11,12,12,12,12,4,4,13,4,4,4,6,11,8,11,11,11,4,1,1,1,10,6,6,6,6,6,1,1,7,7,7,7,7,13,3,3,2,2,2,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,2,2,2,2,2,2,2,2
"37167000024",7,12,8,8,8,12,13,12,2,13,11,14,2,12,8,1,9,10,7,3,2,5,8,14,8,8,7,3,12,12,8,10,10,10,6,12,3,6,8,8,3,6,12,3,4,3,11,11,14,9,4,9,9,4,4,2,5,12,12,8,14,14,3,2,13,11,9,11,7,11,13,8,13,5,8,5,7,7,1,3,3,13,11,1,6,1,3,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,2,9,7,5,9,5,5,5,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,13,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37167000023",13,10,14,9,8,12,13,12,1,13,11,14,2,12,8,1,9,10,7,3,2,4,8,14,8,8,2,3,5,4,8,10,10,10,6,12,3,6,8,6,3,6,12,10,4,3,11,11,14,9,3,4,6,4,4,2,5,12,12,8,14,14,3,2,13,11,9,11,7,11,13,10,10,11,8,7,7,7,1,3,3,13,11,1,3,3,3,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,2,9,7,5,9,5,3,7,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,14,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37025012-03",11,10,14,9,3,8,13,4,2,13,13,8,14,2,8,11,2,13,6,3,11,5,8,6,8,8,7,13,5,4,7,10,6,10,6,12,3,6,8,8,10,4,4,10,4,3,11,11,14,1,1,4,6,4,12,10,5,12,12,8,13,14,3,12,8,1,8,8,5,11,9,8,1,5,13,10,1,10,7,1,10,3,2,7,10,1,3,12,12,12,1,12,9,12,9,13,9,1,5,5,2,2,12,2,7,2,2,5,5,5,6,6,9,10,10,14,4,13,10,10,10,9,9,6,6,6,5,14,8,13,7,14,3,7,10,14,14,14,14,14,5,5,5,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,12,12,12,12,12,12,2,2,2,2,12,4,4,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"370810NWASH",8,11,11,11,11,1,12,9,14,14,2,2,4,14,6,13,6,5,11,10,9,7,13,13,12,2,8,12,1,13,4,4,14,2,1,9,9,4,11,4,4,5,5,5,5,5,5,7,12,4,13,1,10,10,10,6,10,8,3,10,9,9,13,13,2,7,2,14,14,14,7,14,4,14,3,3,11,12,11,14,6,4,7,11,4,4,5,4,10,9,13,7,4,9,3,7,12,14,7,7,7,5,7,7,5,8,4,3,4,3,3,2,10,6,3,3,8,4,4,4,12,2,2,2,2,3,3,11,6,5,12,12,4,4,13,4,4,4,6,11,8,11,11,11,4,11,6,6,6,6,6,6,6,6,1,1,7,7,7,7,7,13,3,3,2,2,2,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,2,2,2,2,2,2,2,2
"37023000066",5,8,1,1,14,14,9,10,5,12,6,11,12,1,1,8,13,6,1,1,8,8,2,3,5,5,4,10,7,10,9,9,5,12,12,6,13,2,3,5,5,3,3,14,10,8,1,4,8,14,14,14,13,14,1,6,12,5,13,12,10,8,5,12,8,8,1,10,10,8,11,11,1,13,1,8,8,1,8,4,4,6,1,4,13,6,6,6,3,7,12,1,13,5,1,1,1,2,2,9,5,14,6,6,14,4,5,7,9,9,9,5,4,13,9,9,10,3,3,14,14,13,4,4,9,9,4,9,4,4,14,7,14,5,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,10,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37023000065",5,8,1,1,14,14,9,10,5,12,6,11,8,1,1,8,13,6,1,1,8,8,2,3,5,5,4,10,7,10,9,9,5,12,12,6,13,2,3,5,5,12,3,14,12,8,1,4,8,14,11,14,14,14,14,12,1,5,13,12,10,8,5,11,5,8,1,10,10,8,11,11,1,13,1,8,8,1,8,4,4,6,1,4,13,6,6,6,3,7,12,1,13,5,1,1,1,2,2,2,5,14,6,6,14,4,5,7,9,14,14,5,4,13,9,9,10,3,3,14,14,13,4,4,9,9,4,9,4,4,14,7,14,14,5,3,5,5,5,5,14,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,10,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37123000STA",14,12,12,8,8,5,1,8,1,5,4,14,2,10,10,12,14,7,3,12,2,4,7,10,9,13,13,1,13,5,14,10,6,9,7,1,4,11,13,4,9,14,4,3,7,10,11,7,14,12,3,4,6,4,12,2,5,2,2,11,1,13,11,2,13,11,9,11,7,2,8,13,11,10,5,11,10,5,3,7,10,13,13,1,6,1,3,12,6,2,2,5,12,12,9,12,2,9,12,13,1,6,2,9,7,5,9,2,3,7,5,10,6,10,10,14,4,13,13,12,4,12,3,6,6,6,14,14,5,14,4,10,10,3,3,13,11,9,11,12,11,2,2,5,1,4,4,4,12,4,11,11,10,10,6,6,6,6,6,12,12,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37023000064",5,8,1,1,14,14,9,10,5,12,6,11,12,1,1,8,13,6,1,1,8,8,2,3,5,5,4,10,7,10,9,9,5,12,12,6,13,2,3,5,10,12,1,14,12,8,1,4,8,14,11,14,14,14,14,12,1,5,13,12,10,8,5,11,5,8,1,10,10,8,11,11,1,13,1,8,8,1,8,1,1,6,3,4,13,6,6,6,3,7,12,13,13,5,1,1,1,2,2,2,5,14,5,6,14,4,5,7,9,14,14,5,4,13,9,9,10,3,3,14,14,13,4,4,9,9,4,9,4,4,14,7,14,14,5,3,5,5,5,5,14,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,10,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37023000062",5,8,1,1,14,14,9,10,5,12,6,11,12,1,1,8,13,6,1,8,8,8,2,3,5,5,4,10,9,10,9,9,5,12,12,6,13,2,2,2,5,3,3,14,12,8,1,10,3,3,14,14,1,13,14,6,12,5,13,12,10,8,2,12,8,5,1,10,10,8,11,11,1,13,1,8,8,1,8,4,4,6,1,4,13,6,6,6,3,7,3,1,13,5,1,1,1,2,2,9,5,14,6,6,14,4,5,7,9,12,12,5,4,13,9,9,10,3,3,14,14,13,4,4,9,9,4,9,4,4,14,7,14,5,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,10,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37025012-09",11,10,5,5,12,8,2,4,2,2,13,5,11,2,8,1,2,13,6,3,13,13,6,6,8,8,7,13,8,4,7,10,6,10,5,5,3,6,8,8,3,4,12,10,4,7,4,3,1,1,1,9,9,11,12,2,2,12,12,13,13,5,8,5,11,13,8,8,5,11,9,8,13,11,13,5,1,10,1,1,2,3,11,7,10,1,1,1,12,12,1,12,9,12,9,13,9,1,5,5,2,2,12,2,2,2,2,5,5,5,6,6,9,4,4,14,14,14,10,10,10,9,9,13,13,13,13,13,8,13,7,14,3,7,10,14,14,14,14,14,5,5,5,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,12,12,12,12,13,13,13,6,13,13,3,3,3,3,4,4,4,4,4,4,4,4,4,8,13,13,4,4,4,4,4,4,4,4,4,4,3,3,3,3
"37147001501",4,4,13,3,1,3,3,3,3,9,14,9,9,9,13,3,12,11,4,4,4,10,9,1,1,11,1,11,14,6,2,6,4,4,3,14,12,14,1,7,1,11,11,11,2,9,6,2,5,5,5,5,5,7,8,7,4,4,4,4,4,1,4,6,10,3,12,9,12,12,4,2,2,7,6,6,9,14,9,13,8,10,5,14,2,2,9,9,14,14,11,4,6,10,10,10,11,11,11,11,11,10,1,1,11,10,10,10,13,11,13,3,3,8,7,7,11,11,11,1,1,11,11,7,1,2,2,2,2,11,13,2,8,8,8,8,2,7,7,13,1,1,8,13,13,5,13,13,5,5,5,13,13,13,13,9,13,13,9,9,9,9,9,9,5,5,1,9,9,9,1,1,1,1,1,1,1,1,9,6,6,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11
"37025012-08",11,10,5,5,3,8,2,4,2,2,13,5,11,2,8,1,2,13,6,3,13,13,6,6,8,8,7,13,8,4,7,10,6,10,6,12,3,6,8,8,3,4,12,10,4,3,4,3,1,1,1,9,9,11,12,2,5,12,12,13,13,5,8,5,11,9,8,8,5,11,9,8,13,11,13,7,1,10,1,1,2,3,11,7,10,1,1,1,12,12,1,12,9,12,9,13,9,1,5,5,2,2,12,2,2,2,2,5,5,5,6,6,9,4,4,14,14,14,10,10,10,9,9,13,13,13,13,13,8,13,7,14,3,7,10,14,14,14,14,14,5,5,5,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,12,12,12,12,13,13,13,6,13,13,3,3,3,3,4,4,4,4,4,4,4,4,4,8,13,13,4,4,4,4,4,4,4,4,4,4,3,3,3,3
"37025012-06",7,1,8,8,3,5,13,12,2,13,13,5,14,2,8,1,2,10,6,3,13,5,8,6,8,8,7,13,8,4,7,10,6,10,6,12,3,6,8,8,3,4,12,10,4,7,11,11,14,9,1,9,9,4,12,2,5,12,12,8,13,14,3,5,11,9,9,11,7,11,9,8,13,5,13,7,7,7,1,1,2,3,11,12,6,1,3,12,12,12,1,12,9,12,9,13,9,1,5,5,2,2,12,2,2,2,2,5,5,5,6,6,9,10,10,4,4,13,13,12,4,9,3,13,13,13,13,13,8,13,7,14,3,7,10,14,14,14,14,14,5,5,5,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,7,6,6,6,6,6,6,13,13,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,3,3,3,3
"37025012-05",7,1,8,8,3,5,13,12,2,13,13,5,14,2,8,1,9,10,6,3,11,5,8,6,8,8,7,13,8,4,7,10,6,10,6,12,3,6,8,8,3,4,12,3,4,7,11,11,14,9,1,4,6,4,12,2,5,12,12,8,13,14,3,5,11,9,9,11,7,11,9,8,13,5,13,7,7,7,1,1,2,3,11,1,6,1,3,12,12,12,1,12,9,12,9,13,9,9,12,13,1,6,2,2,2,2,2,5,5,5,6,6,9,10,10,14,14,14,13,12,4,9,3,13,13,13,13,13,8,13,7,14,3,7,10,14,14,14,14,14,5,5,5,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,7,6,6,6,6,6,6,13,3,3,13,7,7,8,8,13,13,7,3,13,13,13,13,13,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37025012-04",7,1,8,8,3,5,13,12,2,13,13,5,14,2,8,1,9,10,6,3,11,5,8,6,8,8,7,13,8,4,7,10,6,10,6,12,3,6,8,8,3,4,4,10,4,3,11,11,14,9,1,4,6,4,12,2,5,12,12,8,13,14,3,5,8,1,9,8,7,11,9,8,13,5,13,7,1,10,1,1,10,3,11,7,10,1,3,12,12,12,1,12,9,12,9,13,9,1,5,5,2,2,12,2,2,2,2,5,5,5,6,6,9,10,10,14,14,14,13,12,10,9,9,13,13,13,13,13,8,13,7,14,3,7,10,14,14,14,14,14,5,5,5,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,12,12,12,12,13,12,2,2,2,2,12,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,3,3,3,3,4,4,4,12
"37147001509",4,4,13,3,1,11,3,3,3,9,14,9,9,5,13,7,12,11,4,4,4,10,9,7,1,9,1,11,14,11,2,11,11,4,11,14,1,14,1,7,13,11,11,11,2,9,6,6,5,5,5,5,5,7,8,7,4,4,4,4,4,1,4,6,10,3,12,9,12,12,4,2,2,7,6,6,9,14,9,13,8,10,5,14,2,2,9,14,14,14,11,4,6,10,10,10,11,11,11,11,11,10,1,10,11,10,10,10,13,11,13,3,3,3,1,11,11,8,8,8,8,11,11,7,1,2,2,2,2,11,13,13,8,8,8,8,2,7,7,13,1,1,8,13,13,5,13,13,5,5,5,13,13,13,13,9,13,13,9,9,9,9,9,9,5,5,1,9,9,9,1,1,1,1,1,1,1,1,9,6,6,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11
"37147001507",4,4,13,3,1,11,3,3,3,9,14,9,9,5,13,3,12,11,4,4,4,10,9,7,1,9,1,11,14,11,2,11,11,4,11,14,1,14,1,7,13,11,11,11,2,9,6,6,5,5,5,5,5,7,8,7,4,4,4,4,4,1,4,6,10,3,12,9,12,12,4,2,2,7,6,6,9,14,9,13,8,10,5,14,2,2,9,14,14,14,11,4,6,10,10,10,11,11,11,11,11,10,1,10,11,10,10,10,13,11,13,3,3,3,1,11,11,11,11,1,1,11,11,7,1,2,2,2,2,11,13,13,8,8,8,8,2,7,7,13,1,1,8,13,13,5,13,13,5,5,5,13,13,13,13,9,13,13,9,9,9,9,9,9,5,5,1,9,9,9,1,1,1,1,1,1,1,1,9,6,6,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11
"37147001506",4,4,13,3,1,11,3,3,3,9,14,4,9,5,13,3,12,11,4,4,4,10,9,7,1,9,1,11,14,11,2,11,11,11,11,14,1,14,1,7,13,11,11,11,2,9,6,6,5,5,5,5,5,7,8,7,4,4,4,4,4,1,4,6,10,3,12,9,12,12,4,2,2,7,6,6,9,14,9,13,8,10,5,14,2,2,9,14,14,14,11,4,6,10,10,10,11,11,11,11,11,10,1,10,11,10,10,10,13,11,13,3,3,3,1,11,11,8,8,8,8,11,11,7,1,2,2,2,2,11,13,13,2,2,2,2,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5
"37191000018",6,6,4,3,4,3,8,1,7,11,8,4,9,9,13,3,7,14,2,14,14,10,10,9,4,11,14,11,11,11,2,6,4,3,3,11,1,3,1,7,7,13,13,11,11,11,9,2,11,11,12,7,7,8,7,4,7,7,4,7,7,7,1,6,4,14,7,3,3,6,6,12,3,2,4,13,6,6,12,9,9,12,14,5,5,11,2,2,2,6,6,6,10,6,14,3,3,3,3,8,13,13,13,13,13,13,13,8,8,8,8,8,1,1,7,7,7,8,8,8,8,8,8,8,8,8,8,8,10,10,2,2,2,2,2,2,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5
"37191000017",6,6,4,3,4,3,8,1,7,11,8,4,9,9,13,3,7,14,2,14,14,10,10,9,4,11,14,11,11,11,2,6,4,3,3,11,1,3,7,12,7,11,11,11,11,11,9,2,11,11,12,7,7,8,11,4,7,7,4,7,7,7,1,6,4,14,7,3,3,6,6,12,3,2,4,13,6,6,12,9,9,12,14,5,5,11,2,2,2,6,6,6,10,6,14,3,3,3,3,8,13,13,13,13,13,13,13,8,8,8,8,8,1,1,7,7,7,8,8,8,8,8,8,8,8,8,8,8,10,10,2,2,2,2,2,2,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5
"37023000070",5,8,1,1,14,14,9,10,5,12,6,11,12,1,1,8,13,6,1,1,8,8,2,3,5,5,4,10,7,10,9,9,5,12,12,6,13,2,3,5,5,12,3,14,12,8,1,4,8,14,11,14,1,14,14,12,1,5,13,12,10,8,5,11,5,8,1,10,10,8,11,11,1,13,1,8,8,1,8,4,4,6,1,4,13,6,6,6,3,7,12,1,13,5,1,1,1,2,2,9,5,14,5,6,14,4,5,7,9,14,14,5,4,13,9,9,10,3,3,14,14,13,4,4,9,9,4,9,4,4,14,7,14,14,5,3,5,5,5,5,14,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,10,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3714100LT18",6,13,6,12,7,6,6,1,6,6,9,13,13,13,3,10,11,3,10,2,14,9,14,4,6,1,9,6,2,2,11,3,7,3,8,8,7,3,7,12,7,13,9,9,6,13,2,14,6,2,7,12,2,2,11,11,14,14,14,7,8,4,7,7,6,6,6,12,9,4,12,6,6,6,7,9,13,13,13,12,12,8,8,8,8,8,11,11,11,11,4,11,11,11,8,11,10,10,10,10,10,11,11,11,10,11,11,11,11,13,11,11,11,11,11,1,1,1,1,11,11,1,1,1,7,7,7,7,7,7,11,11,11,11,11,7,7,2,2,2,2,8,1,1,5,13,5,5,13,13,13,5,5,5,5,11,11,11,11,11,5,5,5,5,9,9,9,1,1,1,9,9,9,9,9,9,9,9,1,1,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
